,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
James Jones,Yale,Ivy,,14,13,.519,,,,,1999-00,104,119,.466,,,,,,104,119,.466,,,,
Jeff Jones,American,Patriot,,16,14,.533,,,,,2000-01,103,102,.502,,,,,,249,206,.547,5,2,,
Joe Jones,Columbia,Ivy,,16,12,.571,,,,,2003-04,49,60,.450,,,,,,49,60,.450,,,,
Johnny Jones,North Texas,Sun Belt,,23,11,.676,,,Lost First Round,,2001-02,86,89,.491,1,,,,,101,105,.490,1,,,
Kevin Jones,Chicago State,Ind,,9,20,.310,,,,,2002-03,41,90,.313,,,,,,41,90,.313,,,,
Stan Joplin,Toledo,MAC,,19,13,.594,,,,,1996-97,191,137,.582,,,,,,191,137,.582,,,,
Rob Judson,Northern Illinois,MAC,,7,23,.233,,,,,2001-02,74,101,.423,,,,,,74,101,.423,,,,
Greg Kampe,Oakland,Mid-Cont,,19,14,.576,,,,,1999-00,115,125,.479,1,,,,,115,125,.479,1,,,
Danny Kaspar,Stephen F. Austin,Southland,,15,14,.517,,,,,2000-01,108,90,.545,,,,,,108,90,.545,,,,
Dean Keener,James Madison,CAA,,7,23,.233,,,,,2004-05,18,68,.209,,,,,,18,68,.209,,,,
Andy Kennedy,Ole Miss,SEC,,21,13,.618,,,,,2006-07,21,13,.618,,,,,,42,26,.618,,,,
Billy Kennedy,Murray State,OVC,,16,14,.533,,,,,2006-07,16,14,.533,,,,,,120,140,.462,1,,,
Pat Kennedy,Towson,CAA,,15,17,.469,,,,,2004-05,32,57,.360,,,,,,448,368,.549,8,2,,
Ernie Kent,Oregon,Pac-10,,29,8,.784,,10,Lost Regional Final,,1997-98,193,120,.617,4,2,,,,283,200,.586,5,2,,
Matt Kilcullen,North Florida,A-Sun,,3,26,.103,,,,,2005-06,9,48,.158,,,,,,102,147,.410,1,,,
Bob Knight,Texas Tech,Big 12,,21,13,.618,,,Lost First Round,,2001-02,126,74,.630,4,1,,,,887,366,.708,28,15,5,3
Tod Kowalczyk,Green Bay,Horizon,,18,15,.545,,,,,2002-03,77,73,.513,,,,,,77,73,.513,,,,
Lon Kruger,UNLV,MWC,,30,7,.811,,19,Lost Regional Semifinal,,2004-05,64,34,.653,1,1,,,,382,267,.589,10,3,1,
Mike Krzyzewski,Duke,ACC,,22,11,.667,12,,Lost First Round,,1980-81,702,202,.777,23,17,10,3,,775,261,.748,23,17,10,3
Mike LaPlante,Jacksonville State,OVC,,9,21,.300,,,,,2000-01,88,115,.433,,,,,,88,115,.433,,,,
Robbie Laing,Campbell,A-Sun,,14,17,.452,,,,,2003-04,29,84,.257,,,,,,29,84,.257,,,,
